"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27219";"BRANQUINHA";"9";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"70";"0";"70";"1499";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27359";"CARNEIROS";"19";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"28";"0";"28";"143";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27650";"INHAPI";"39";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"105";"0";"105";"747";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28738";"SÃO MIGUEL DOS MILAGRES";"12";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"15";"0";"15";"357";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27634";"IGREJA NOVA";"37";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"128";"0";"128";"3614";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28312";"PAULO JACINTO";"28";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"27";"0";"27";"250";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27995";"MATA GRANDE";"27";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"98";"0";"98";"1327";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"27570";"GIRAU DO PONCIANO";"44";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"108";"0";"108";"278";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28690";"SÃO LUÍS DO QUITUNDE";"17";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"37";"0";"37";"889";"0";"0"
"09/04/2023";"04:43:32";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AL";"AL";"ALAGOAS";"28436";"POÇO DAS TRINCHEIRAS";"50";"6";"Deputado Federal";"Coligação";"11";"PP";"Partido Progressista";"-1";"#NULO#";"#NULO#";"#NULO#";"20000050447";"Alagoas com o Povo II";"PTC / PSDB / PP / PSB / PSC / PROS / PRB / DEM";"N";"78";"0";"78";"1630";"0";"0"
